order_id,order_date,ship_date,return_date,customer_id,product_id,quantity,unit_price,discount,gross_revenue,net_revenue,product_name,category,subcategory,price_tier,base_retail_price,marketing_cost_per_order
206f63c8ac0c,2024-01-01,2024-01-02,,a79977c0,10304,1,101.45,0,101.45,101.45,Schuhe Model 304,Schuhe,,mid,101.45,7.0
206f63c8ac0c,2024-01-01,2024-01-02,2024-01-15,a79977c0,10189,1,31.57,0,31.57,31.57,Ausrüstung Model 189,Ausrüstung,,budget,31.57,3.0
f66f7766fd39,2024-01-01,2024-01-04,,c37253d3,10320,1,37.78,0,37.78,37.78,Bekleidung Model 320,Bekleidung,,budget,37.78,3.0
0c664b41bb00,2024-01-01,2024-01-02,,c37253d3,10104,1,121.03,0,121.03,121.03,Schuhe Model 104,Schuhe,,mid,121.03,7.0
51e6e01cddad,2024-01-01,2024-01-06,,b6633e30,10027,1,175.32,0,175.32,175.32,Bekleidung Model 27,Bekleidung,,mid,175.32,7.0
29090b4f4769,2024-01-01,2024-01-05,,ef7323aa,10271,1,120.05,0,120.05,120.05,Schuhe Model 271,Schuhe,,mid,120.05,7.0
29090b4f4769,2024-01-01,2024-01-05,,ef7323aa,10065,1,144.47,0,144.47,144.47,Bekleidung Model 65,Bekleidung,,mid,144.47,7.0
29090b4f4769,2024-01-01,2024-01-05,,ef7323aa,10283,1,318.64,0,318.64,318.64,Ausrüstung Model 283,Ausrüstung,,premium,318.64,12.0
8299400c0aae,2024-01-01,2024-01-04,,e3cb5179,10303,1,106.33,0,106.33,106.33,Bekleidung Model 303,Bekleidung,,mid,106.33,7.0
8299400c0aae,2024-01-01,2024-01-04,,e3cb5179,10322,1,23.36,0,23.36,23.36,Bekleidung Model 322,Bekleidung,,budget,23.36,3.0
aa5d9de66d12,2024-01-01,2024-01-03,,1e554010,10133,1,127.85,0,127.85,127.85,Bekleidung Model 133,Bekleidung,,mid,127.85,7.0
aa5d9de66d12,2024-01-01,2024-01-03,,1e554010,10260,1,20.0,0,20.0,20.0,Bekleidung Model 260,Bekleidung,,budget,20.0,3.0
1fa113973cd7,2024-01-01,2024-01-04,,627c77e8,10262,1,126.26,0,126.26,126.26,Ausrüstung Model 262,Ausrüstung,,mid,126.26,7.0
