order_id,line_item_id,date_key,ship_date,return_date,shop_key,customer_key,product_key,quantity,gross_revenue_eur,cogs_eur,cogs_eur_1,logistics_allocated_eur,marketing_cost_allocated_eur,contribution_margin_eur,is_returned
8fdc1e37d43f,b17a70e9da22,2024-01-16,2024-01-17,,CH,fb1e96bc,10440,1,477.55665,242.4792,242.4792,9.0,17.9838613140797,208.0935886859203,false
942d9cf1e03e,d4f4870acbb9,2024-01-16,2024-01-19,,CH,55b91ecb,10465,1,62.1534,37.0833,37.0833,9.0,2.3405770305963096,13.729522969403687,false
d4c7d2a0e14f,7b6f72a9e046,2024-01-16,2024-01-19,2024-02-05,CH,e68e2959,10231,1,134.0835,68.17065,68.17065000000001,9.0,5.049325705141799,51.86352429485818,true
ea7cb384796f,aeef954740a6,2024-01-16,2024-01-19,,CH,c37253d3,10455,1,130.04715,62.313149999999986,62.31314999999999,4.75,4.897324558021168,58.08667544197883,false
ea7cb384796f,dea23632f8b9,2024-01-16,2024-01-19,,CH,c37253d3,10466,1,101.175,43.31355,43.31355,4.75,3.8100551389076323,49.30139486109236,false
9e1a86efedff,210f2a2a6f9c,2024-01-16,2024-01-18,,CH,1617635b,10415,1,63.6444,32.3973,32.3973,9.0,2.396725211590738,19.85037478840926,false
c767cd4ec4ed,25fc817d6588,2024-01-16,2024-01-20,2024-02-01,CH,60aaf8c7,10013,1,375.945,173.35005,173.35005,4.75,14.157362779309413,183.68758722069057,true
c767cd4ec4ed,df84ec9995ea,2024-01-16,2024-01-20,,CH,60aaf8c7,10317,1,58.969049999999996,28.424850000000003,28.42485,4.75,2.2206605583296377,23.57353944167036,false
787c2e296173,1516bfb58110,2024-01-16,2024-01-18,,CH,5eb5d8b2,10190,1,186.40695,104.82795,104.82795,4.75,7.019725799610557,69.80927420038944,false
787c2e296173,b3de5cde231e,2024-01-16,2024-01-18,,CH,5eb5d8b2,10326,1,62.558099999999996,25.325699999999998,25.3257,4.75,2.35581725115194,30.126582748848058,false
11571d0dc212,ccda8f21fca4,2024-01-16,2024-01-21,,CH,a03ebfd4,10355,1,40.257,18.37125,18.37125,9.0,1.5160008868495631,11.369749113150435,false
de396631dd3a,f969d11591a0,2024-01-16,2024-01-21,,CH,0119fa24,10342,1,108.32114999999999,59.09685,59.096849999999996,9.0,4.079165349245213,36.14513465075478,false
fba9325fa1dd,e323863ce2e9,2024-01-16,2024-01-17,,CH,cdf9e769,10395,1,66.3708,29.8839,29.883899999999997,4.75,2.499396171123407,29.237503828876598,false
fba9325fa1dd,569c6ae67808,2024-01-16,2024-01-17,,CH,cdf9e769,10189,1,30.256649999999997,18.47775,18.47775,4.75,1.1394070157512193,5.889492984248777,false
fc441417c0d7,05878d756d01,2024-01-16,2024-01-18,,CH,cc05c9ea,10296,1,99.5562,40.99185,40.99185,4.75,3.7490942566851104,50.06525574331489,false
fc441417c0d7,54c3f28e8c87,2024-01-16,2024-01-18,,CH,cc05c9ea,10423,1,50.71529999999999,22.90815,22.90815,4.75,1.9098402706819098,21.14730972931808,false
1a4fc539f52a,1209120aac8c,2024-01-16,2024-01-20,,CH,e68e2959,10097,1,98.01195,53.58015,53.58015,4.75,3.6909407835123096,35.990859216487685,false
1a4fc539f52a,d0c180cc26bc,2024-01-16,2024-01-20,,CH,e68e2959,10490,1,63.59115,34.58055,34.580549999999995,4.75,2.3947199194123656,21.865880080587637,false
03de734dada9,63e3f10413bc,2024-01-17,2024-01-18,,CH,8db54af6,10384,1,184.5246,83.27592000000001,83.27592000000001,3.3333333333333335,5.890123976608186,92.02522269005847,false
03de734dada9,9585eb275c38,2024-01-17,2024-01-18,,CH,8db54af6,10320,1,40.273480000000006,20.71238,20.71238,3.3333333333333335,1.2855510331384017,14.942215633528273,false
03de734dada9,cdabbe50765c,2024-01-17,2024-01-18,,CH,8db54af6,10222,1,45.55018,18.612360000000002,18.612360000000002,3.3333333333333335,1.4539861208576996,22.150500545808963,false
2322e79e37cc,29c58e9f0ca6,2024-01-17,2024-01-20,,CH,85eb3f9b,10018,1,66.28388,38.70646,38.70646000000001,2.625,2.115816920077972,22.836603079922018,false
2322e79e37cc,b3f5811a6e9b,2024-01-17,2024-01-20,,CH,85eb3f9b,10472,1,107.48478,52.457860000000004,52.457860000000004,2.625,3.4309716959064325,48.97094830409357,false
2322e79e37cc,e017c6ba4ec4,2024-01-17,2024-01-20,,CH,85eb3f9b,10079,1,135.53124,56.95638,56.95638,2.625,4.326229707602338,71.62363029239766,false
2322e79e37cc,c7d5533f7c51,2024-01-17,2024-01-20,,CH,85eb3f9b,10466,1,101.27000000000001,43.354220000000005,43.354220000000005,2.625,3.2325925925925922,52.05818740740742,false
631b76721c44,426745b35b6c,2024-01-17,2024-01-22,,CH,e8be0109,10217,1,255.11512000000002,135.52058000000002,135.52058,4.75,8.143411150097466,106.70112884990256,false
631b76721c44,9d8e97335162,2024-01-17,2024-01-22,,CH,e8be0109,10366,1,79.51294000000001,32.34244,32.34244,4.75,2.5380955945419106,39.882404405458104,false
9ea9579e8639,68e983e05f47,2024-01-17,2024-01-21,,CH,c37253d3,10127,1,82.28454,45.83800000000001,45.838,9.0,2.626566549707602,24.819973450292405,false
1baa1643c36d,1071943f8f49,2024-01-17,2024-01-19,,CH,12893571,10440,1,478.00506000000007,242.70688,242.70688,9.0,15.258177309941521,211.04000269005854,false
603367ff85e8,558be06145fa,2024-01-17,2024-01-21,,CH,1c9f915a,10283,1,339.67024,168.54526,168.54526,9.0,10.842455828460038,151.28252417153993,false
