line_id,order_id,sku_id,qty,unit_price_paid,unit_cost,is_returned
c195bf62636a,8c7c05d29e4c,10126,1,107.83,53.04,False
41dac66769d0,2dba1de56966,10183,1,101.93,60.52,False
27713a786ccc,2dba1de56966,10283,1,318.64,158.11,False
f4ae92f634d8,2dba1de56966,10214,1,177.42,100.85,True
3d1628ca76bd,c975a41fe838,10406,1,95.87,47.14,True
58ebdfcf1d92,f39a15095d35,10373,1,123.99,71.91,False
f7624d1da93e,380f06737ec1,10447,1,82.77,49.07,False
3f0ee5f879ba,96cd6782d796,10320,1,37.78,19.43,True
afe9991b4405,96cd6782d796,10226,1,139.77,78.77,False
615eb44cc321,96cd6782d796,10440,1,448.41,227.68,False
9e787a1f8ad0,4546a7f3ec12,10053,1,118.18,50.47,True
826845fbdbb3,cf8720bfcef9,10244,1,45.39,24.75,False
63bc479604dd,431c6447fa3e,10264,1,306.27,142.53,False
16419419dbf3,1fddd995055e,10004,1,79.13,44.03,False
9b190bb00bc8,1fddd995055e,10001,1,310.47,171.09,True
310a0929df80,7079c2ca4a8f,10472,1,100.83,49.21,False
1b9de6b4e55b,7079c2ca4a8f,10494,1,370.98,162.3,False
bc087312fd06,7079c2ca4a8f,10127,1,77.19,43.0,False
b5b96a90c842,2d04f265966a,10048,1,200.62,96.24,False
96f833053160,2d04f265966a,10019,1,229.52,114.62,False
b1dae10306ce,415b5c96555c,10238,1,211.86,111.7,False
09870523bc8b,415b5c96555c,10414,1,143.02,75.83,False
41f4904b410a,415b5c96555c,10408,1,70.77,30.65,False
30c3e798b45e,21f7a3c3358d,10237,1,380.62,218.73,False
9aa6c19350ef,21f7a3c3358d,10415,1,59.76,30.42,False
638d4b456446,21f7a3c3358d,10351,1,198.61,105.54,False
247ba12c966a,da7fa33caff9,10076,1,85.64,36.69,True
70c590a24200,4363b75ec0f8,10084,1,69.06,38.87,False
eaa07a378cb0,88e6ab0b13dd,10447,1,82.77,49.07,False
8c8457b2f141,88e6ab0b13dd,10320,1,37.78,19.43,False
4e50ea2e24c7,e8d33ca9a71a,10440,1,448.41,227.68,False
82c9f6af1fcc,3fa869741822,10005,1,209.42,113.45,False
b7f76084d16d,3fa869741822,10094,1,113.98,53.98,False
f7cc14db71a7,65c1add79831,10251,1,85.11,46.52,False
b8b62a7c9328,6e43e76689e6,10039,1,185.15,104.52,False
fd2e4790335f,6e43e76689e6,10079,1,127.14,53.43,False
be76d5af4d26,1aade99f7dca,10104,1,121.03,66.82,False
