order_id,customer_id,shop_id,order_date,currency_code
8c7c05d29e4c,4650b4d3,DE,2024-01-01,EUR
2dba1de56966,d887bd58,DE,2024-01-01,EUR
c975a41fe838,d887bd58,DE,2024-01-01,EUR
f39a15095d35,bf6517c9,DE,2024-01-01,EUR
380f06737ec1,029fea96,DE,2024-01-01,EUR
96cd6782d796,f6caf4e9,DE,2024-01-01,EUR
4546a7f3ec12,6dddbff6,DE,2024-01-01,EUR
cf8720bfcef9,2330b3c9,DE,2024-01-01,EUR
431c6447fa3e,c6ae6015,DE,2024-01-01,EUR
1fddd995055e,b025e15b,DE,2024-01-01,EUR
7079c2ca4a8f,df631071,DE,2024-01-01,EUR
2d04f265966a,5e39666e,DE,2024-01-01,EUR
415b5c96555c,140bab79,DE,2024-01-01,EUR
21f7a3c3358d,d887bd58,DE,2024-01-01,EUR
da7fa33caff9,00ecd397,DE,2024-01-01,EUR
4363b75ec0f8,2686d495,DE,2024-01-01,EUR
88e6ab0b13dd,f10e285d,DE,2024-01-01,EUR
e8d33ca9a71a,1efcf0fa,DE,2024-01-01,EUR
3fa869741822,882fae6c,DE,2024-01-01,EUR
65c1add79831,cfd79171,DE,2024-01-01,EUR
6e43e76689e6,6b4e7c1f,DE,2024-01-01,EUR
1aade99f7dca,4d22011a,DE,2024-01-01,EUR
38e27fb34876,1efcf0fa,DE,2024-01-01,EUR
4e8e92026e45,6a33c61d,DE,2024-01-01,EUR
d66d65c39587,6142f6d3,DE,2024-01-01,EUR
c86f33521a19,16824a39,DE,2024-01-01,EUR
5067b320cd4b,de61a05e,DE,2024-01-01,EUR
9c7b475b4ea0,f4791f84,DE,2024-01-01,EUR
58c942bccb1e,3abdf79b,DE,2024-01-01,EUR
a7b636c51164,96507e70,DE,2024-01-01,EUR
06f05c350eb0,1a6df2f8,DE,2024-01-01,EUR
1d41c40f98a1,894268c1,DE,2024-01-01,EUR
822dea3ec01a,d887bd58,DE,2024-01-01,EUR
