line_id,order_id,sku_id,qty,unit_price_paid,unit_cost,is_returned,return_date
035d3930ff09,206f63c8ac0c,10304,1,101.45,47.24,False,
834a842bd4d8,206f63c8ac0c,10494,1,370.98,162.3,False,
f716d840468b,206f63c8ac0c,10189,1,31.57,17.35,True,2024-01-15
6518374ae455,206f63c8ac0c,10226,1,139.77,78.77,False,
71dba9135efa,f66f7766fd39,10041,1,122.93,70.37,False,
2db6937e50af,f66f7766fd39,10320,1,37.78,19.43,False,
dc39d359b756,0c664b41bb00,10494,1,370.98,162.3,False,
08c8024b2720,0c664b41bb00,10104,1,121.03,66.82,False,
793ab1b978b6,51e6e01cddad,10027,1,175.32,100.91,False,
0ed4b9228dc4,29090b4f4769,10271,1,120.05,65.36,False,
03fa4108fcc3,29090b4f4769,10065,1,144.47,76.57,False,
6a93f520d3d0,29090b4f4769,10283,1,318.64,158.11,False,
66b483869821,8299400c0aae,10303,1,106.33,45.67,False,
725a6fbd1330,8299400c0aae,10322,1,23.36,10.21,False,
b372b03a3bae,8299400c0aae,10331,1,130.99,77.04,False,
20a32dbd3c43,aa5d9de66d12,10133,1,127.85,62.33,False,
06d20a21fc5d,aa5d9de66d12,10260,1,20.0,10.98,False,
870adb04c003,aa5d9de66d12,10076,1,85.64,36.69,True,2024-01-22
525ecb2376e0,1fa113973cd7,10262,1,126.26,74.7,False,
67b7b99673db,ff379b33ee62,10414,1,143.02,75.83,False,
19f2bfb3a867,fb1c4e521f1a,10133,1,127.85,62.33,True,2024-01-27
491df3c2e00b,fb1c4e521f1a,10415,1,59.76,30.42,False,
dbf21bb02a84,3fcc4fe710f7,10479,1,64.55,31.21,False,
246c7e7738f7,73ca2e91f7d4,10209,1,103.85,59.12,False,
a9a2651f6816,73ca2e91f7d4,10076,1,85.64,36.69,True,2024-01-20
d73fcd81a7ba,713b47dcd5fc,10447,1,82.77,49.07,False,
a86a12737c36,713b47dcd5fc,10320,1,37.78,19.43,False,
cd5f0ae0e3dd,98138bfea541,10328,1,79.63,36.2,False,
ae2c7dcebfff,98138bfea541,10415,1,59.76,30.42,False,
c50ec580976d,98138bfea541,10019,1,229.52,114.62,False,
e657bb82023e,98138bfea541,10104,1,121.03,66.82,True,2024-01-27
94ffb302f5ba,84382d237be5,10079,1,127.14,53.43,False,
e6166662a5b1,415ec4dea6c1,10090,1,222.2,94.69,False,
0efcd058c7e1,12e6f36c9123,10271,1,108.04,65.36,False,
4e0e657df7ab,12e6f36c9123,10343,1,51.06,25.49,False,
6a725d746ded,35d9dd88ec9c,10065,1,130.02,76.57,False,
102a9379b73e,a9f00d525449,10440,1,448.41,227.68,False,
f1051fb11aad,a9f00d525449,10056,1,34.91,20.71,False,
de5c00fa1144,a9f00d525449,10428,1,151.28,66.71,False,
b959a07716fa,d5e52dacb8b2,10489,1,298.06,150.66,False,
d6c6c55f3fc7,da779be12030,10084,1,69.06,38.87,False,
74ac127ace35,da779be12030,10494,1,370.98,162.3,False,
91896c638f70,da779be12030,10405,1,134.81,56.13,False,
43c8ffdcb49e,7a2b8cb19bf3,10133,1,127.85,62.33,True,2024-01-10
b4fd60493c83,523b39b731bb,10173,1,110.53,61.22,False,
8645d6d4dcb4,523b39b731bb,10445,1,76.76,36.54,True,2024-01-29
3aeba199ec50,523b39b731bb,10424,1,130.22,56.38,False,
7e66bbad7fb4,523b39b731bb,10479,1,64.55,31.21,False,
9f241b141649,99ef2869f193,10373,1,123.99,71.91,False,
9c0e337691aa,99ef2869f193,10270,1,122.36,59.92,False,
ace9aec40ab6,27d82a65a366,10084,1,69.06,38.87,False,
c0ca98c343da,5a46c51c03d5,10415,1,59.76,30.42,False,
4bb0eba47090,c3a409425258,10355,1,37.8,17.25,False,
e547356102d3,fce2a39880c8,10254,1,117.33,55.27,True,2024-01-27
d926a4fcdd77,fce2a39880c8,10271,1,120.05,65.36,False,
4dcbee5ecf59,360e949c9bd3,10030,1,206.58,115.27,False,
536db5d299f6,bab3f3f0dbb7,10054,1,102.56,60.78,False,
cb2bbc08c2d1,59a9965f0f58,10307,1,117.87,52.35,True,2024-01-27
0cc059142cde,2787187f49b0,10414,1,143.02,75.83,False,
5a9262b13d19,a3c89fa2893d,10320,1,37.78,19.43,False,
66c951caa10b,a3c89fa2893d,10051,1,60.94,25.21,True,2024-01-20
61624f75ff44,29ea836e2aab,10180,1,23.98,12.68,False,
8e0190076160,2a86e41e4b5a,10336,1,61.92,27.07,False,
e6dc3bc5aa82,593190e2049d,10447,1,82.77,49.07,True,2024-01-11
6d8397ae8383,593190e2049d,10115,1,315.67,160.86,False,
639b24341b29,593190e2049d,10419,1,104.11,51.21,False,
6a26ce406e4b,c6d904edab9f,10236,1,554.14,298.0,False,
f78a4757ba5a,1cc50dc8048a,10304,1,101.45,47.24,True,2024-02-03
22112f562c4e,04b69c7e1b04,10433,1,312.89,153.39,False,
99a867bfbb54,e002030ec0aa,10461,1,355.38,164.67,False,
84642733aea7,97659da923f9,10027,1,175.32,100.91,False,
8d464b286548,97659da923f9,10280,1,106.97,59.78,False,
d83a989373ea,e3adbffbeca9,10094,1,113.98,53.98,False,
bf1b0c3760a6,1d6c388d27e5,10320,1,37.78,19.43,False,
dcd74c6592bf,24ddaf79dc3d,10093,1,159.45,69.99,False,
a890f3fb0c58,24ddaf79dc3d,10172,1,103.2,47.38,False,
b2531069bbae,24ddaf79dc3d,10440,1,448.41,227.68,False,
7a9347509f92,9a47d571c396,10189,1,31.57,17.35,False,
3ddadff41bc2,d53d34bd75e2,10483,1,272.09,117.87,False,
56352648db69,1cab67b0487a,10189,1,31.57,17.35,False,
50d5b1697717,6ca20921dd44,10189,1,31.57,17.35,False,
cc34d04e75d8,6404ae673b09,10065,1,144.47,76.57,False,
1c7e5b685e3b,fab73efaadb2,10308,1,163.46,84.94,False,
4be2e85665b0,eb89b5d00cc6,10320,1,37.78,19.43,False,
792ce9632885,eb89b5d00cc6,10133,1,127.85,62.33,False,
9f38f243667a,eb89b5d00cc6,10235,1,153.81,78.91,True,2024-01-11
20f725e4b687,7b060c168016,10490,1,59.71,32.47,False,
da46ec00446d,7b060c168016,10320,1,37.78,19.43,True,2024-02-04
06b0d654c8ce,7b060c168016,10494,1,333.88,162.3,False,
ea05f2e117ea,a96c54eee299,10304,1,101.45,47.24,False,
d715833bd4b9,a96c54eee299,10183,1,101.93,60.52,True,2024-01-15
c7baa6114d21,7267cac3ffb1,10474,1,92.0,38.34,False,
7262e29e0967,3abacc19473f,10065,1,144.47,76.57,False,
5629f8f6414d,74d4a2643aba,10238,1,190.67,111.7,False,
568e1a7d043f,4c16383be4fa,10451,1,44.75,25.0,False,
1a0d6e52b3c3,4263b1dea6d7,10447,1,82.77,49.07,False,
d8b0c97b3ecc,bdf8c749c5c7,10320,1,37.78,19.43,False,
dc1e5feac940,204c65c33bdd,10289,1,51.08,26.6,False,
718ac970d6f5,204c65c33bdd,10165,1,112.41,47.18,False,
c39e38db2d49,6826f725ada2,10275,1,58.67,28.31,False,
efb10117377a,6826f725ada2,10375,1,87.64,46.69,False,
3c3818e3be3c,c1e346c757e5,10320,1,37.78,19.43,False,
8692aa98e276,91af3564c5ce,10324,1,135.03,63.05,False,
6c027109b399,8b72e7b1c9a8,10094,1,113.98,53.98,False,
369d0c88b051,8b72e7b1c9a8,10494,1,370.98,162.3,False,
c72c5d27e538,b283c8db2be0,10065,1,144.47,76.57,False,
c097514b0096,b283c8db2be0,10281,1,200.82,84.06,False,
399126283db8,43c582292b78,10039,1,185.15,104.52,False,
8c64c5eb0993,43c582292b78,10447,1,82.77,49.07,True,2024-02-03
f020fbc851b2,849da35c4ed0,10320,1,37.78,19.43,False,
5d73f32e3e8a,17306802ce64,10320,1,37.78,19.43,False,
882496c40fbf,f6aa53ecac1a,10426,1,194.06,107.0,False,
d63f3dcb1784,d8249497aef0,10056,1,34.91,20.71,False,
11d5375355e9,c69bf1f80e83,10280,1,106.97,59.78,False,
48d1a6e3362f,c2e0eff0e39b,10124,1,179.35,85.22,False,
cfbb9bab155b,827716b72a91,10011,1,239.11,140.45,True,2024-01-30
d36c86e0ac33,827716b72a91,10285,1,34.77,14.36,False,
9761cf2475f8,0a7bd9ecb138,10494,1,370.98,162.3,True,2024-01-18
a6290fd166e0,241dc594d57b,10235,1,153.81,78.91,True,2024-01-30
78315ca0d8df,241dc594d57b,10262,1,126.26,74.7,False,
c1bab3d769eb,241dc594d57b,10418,1,62.76,35.23,False,
40cd9d360b67,07636c645325,10065,1,144.47,76.57,False,
8ad60f70e890,5a6fc5f2780d,10041,1,122.93,70.37,False,
0f4fd166b1da,5a6fc5f2780d,10472,1,100.83,49.21,False,
8c0f88086b45,23e637763849,10098,1,87.41,48.41,False,
eb1261555053,23e637763849,10494,1,370.98,162.3,False,
